pc,country,year,coef,se,t,p,significant,ci_lower,ci_upper,period
PC1,UK,2014,-0.035749415513020494,0.04368184064734894,-0.8184045127958712,0.412,False,-0.12136582318182441,0.04986699215578343,pre_aukus
PC1,UK,2015,-0.007157229953351248,0.03472786824487188,-0.206094710532891,0.848,False,-0.07522385171330014,0.06090939180659764,pre_aukus
PC1,UK,2016,0.00741175824757171,0.028339609335002357,0.2615335363292189,0.785,False,-0.04813387604903291,0.06295739254417633,pre_aukus
PC1,UK,2017,-0.016192605061330554,0.032053917356513965,-0.5051677422522558,0.639,False,-0.07901828308009792,0.04663307295743682,pre_aukus
PC1,UK,2018,-0.0005920655834151345,0.031829258467609645,-0.01860129993344448,0.991,False,-0.06297741217993004,0.06179328101309977,pre_aukus
PC1,UK,2019,-0.022813074139297805,0.029409963126522214,-0.7756920347419523,0.429,False,-0.08045660186728135,0.03483045358868573,pre_aukus
PC1,UK,2020,-0.019127662951215547,0.031926515147215825,-0.5991152765347643,0.562,False,-0.08170363263975858,0.043448306737327476,pre_aukus
PC1,UK,2022,0.006336883250433593,0.030554349801835308,0.2073970904808112,0.842,False,-0.05354964236116361,0.06622340886203079,post_aukus
PC1,UK,2023,0.03295530189021827,0.0276201480119014,1.1931616686492041,0.234,False,-0.02118018821310847,0.08709079199354502,post_aukus
PC1,UK,2024,0.06431494258439324,0.031660798521033526,2.031374620626396,0.05,False,0.0022597774831675313,0.12637010768561896,post_aukus
PC2,UK,2014,0.02305107153644938,0.030080013848808065,0.7663251636888057,0.448,False,-0.03590575560721443,0.08200789868011318,pre_aukus
PC2,UK,2015,-0.04460064944989661,0.023584508263291185,-1.8910994010130213,0.059,False,-0.09082628564594733,0.0016249867461541057,pre_aukus
PC2,UK,2016,-0.034226025284601155,0.022124385270659436,-1.5469819778446219,0.121,False,-0.07758982041509366,0.00913776984589134,pre_aukus
PC2,UK,2017,-0.047151886899032255,0.029860419559140833,-1.5790765031162524,0.114,False,-0.10567830923494828,0.011374535436883777,pre_aukus
PC2,UK,2018,-0.07066109423780856,0.024953567879637765,-2.83170304858362,0.004,True,-0.11957008728189858,-0.021752101193718537,pre_aukus
PC2,UK,2019,-0.020659497988533088,0.02750242038265904,-0.7511883572821618,0.47,False,-0.0745642419385448,0.033245245961478626,pre_aukus
PC2,UK,2020,-0.030632769153439782,0.027933499144660787,-1.096632004275588,0.273,False,-0.08538242747697493,0.02411688917009536,pre_aukus
PC2,UK,2022,-0.04630725446953959,0.02357347143385291,-1.964379942914967,0.064,False,-0.09251125847989129,-0.00010325045918788134,post_aukus
PC2,UK,2023,-0.016935698219166614,0.022183323477318037,-0.7634427833360045,0.443,False,-0.060415012234709964,0.026543615796376735,post_aukus
PC2,UK,2024,-0.006061648622500048,0.02239020811273091,-0.27072765880427163,0.792,False,-0.04994645652345263,0.037823159278452534,post_aukus
PC3,UK,2014,0.06454438746594726,0.03556949006913362,1.8145997409717547,0.067,False,-0.005171813069554623,0.13426058800144913,pre_aukus
PC3,UK,2015,0.06548362316609073,0.0272118631581022,2.4064365892782793,0.017,True,0.012148371376210415,0.11881887495597104,pre_aukus
PC3,UK,2016,-0.0016530561531331424,0.025576612924831415,-0.06463155062757546,0.941,False,-0.05178321748580272,0.04847710517953643,pre_aukus
PC3,UK,2017,0.003231200167550384,0.029281002892201747,0.11035141724639945,0.917,False,-0.05415956550116503,0.060621965836265806,pre_aukus
PC3,UK,2018,-0.0010515336892888034,0.03378272834947165,-0.03112636961736837,0.987,False,-0.06726568125425324,0.06516261387567564,pre_aukus
PC3,UK,2019,-0.00590610860247906,0.030333449356149338,-0.19470613226786707,0.844,False,-0.06535966934053175,0.05354745213557364,pre_aukus
PC3,UK,2020,0.0026897143560969195,0.03450342200468179,0.07795500271630885,0.941,False,-0.06493699277307938,0.07031642148527323,pre_aukus
PC3,UK,2022,-0.012699890567651435,0.02515151991538704,-0.5049353124731828,0.639,False,-0.06199686960181003,0.036597088466507166,post_aukus
PC3,UK,2023,0.022913812177835988,0.026810885836494328,0.8546458448846275,0.394,False,-0.029635524061692897,0.07546314841736487,post_aukus
PC3,UK,2024,-0.02499138153552602,0.026542090555966458,-0.941575475482211,0.349,False,-0.07701387902522028,0.02703111595416824,post_aukus
